,date,totalAdmissions,totalBeds,newHospAdmission,mecVent,dailyCases,cumulativeCases,Vax_index,totalAdmissions_ewma_3,totalAdmissions_ewma_7,totalAdmissions_ewma_14,totalBeds_ewma_3,totalBeds_ewma_7,totalBeds_ewma_14,newHospAdmission_ewma_3,newHospAdmission_ewma_7,newHospAdmission_ewma_14,dailyCases_ewma_3,dailyCases_ewma_7,dailyCases_ewma_14,cumulativeCases_ewma_3,cumulativeCases_ewma_7,cumulativeCases_ewma_14
35,2020-09-05,94,471,79,50,2200,307414,0.32999999999999996,80.64081675251714,70.32496269633477,62.638366838723385,471.41711116146206,476.612548070843,496.3684611092304,68.00452108823818,59.637686484637904,52.91519506602549,2365.4932058934573,2139.7809134792014,1796.0472605823093,305048.50679472816,300996.01507381693,295988.47442485957
36,2020-09-06,85,483,67,52,2079,309493,0.32999999999999996,82.82040837627443,73.99380947960248,65.6349546937231,477.2085555807732,478.2094491197904,494.5770101936807,67.50226054411543,61.478308739921594,54.80264018690675,2222.2466029456864,2124.585322879473,1833.9645601088143,307270.7533973803,303120.31194399355,297798.15876384045
37,2020-09-07,84,555,71,62,3530,313023,0.32999999999999996,83.41020418813936,76.49540183410461,68.09432295084636,516.104277790528,497.407430068519,502.66859835215666,69.25113027206407,63.85877411379054,56.97172128140917,2876.123301475222,2475.9452739040844,2061.090366457837,310146.8766987006,305596.0282197757,299837.0043333177
38,2020-09-08,99,535,86,64,3071,316094,0.32999999999999996,91.20510209408386,82.12162681639269,72.23066998009831,525.5521388952812,506.80569857070594,506.99576118845084,77.62556513604727,69.39415480804604,60.85680149663872,2973.561650737788,2624.71095019432,2196.254424047361,313120.4383493557,308220.55635655276,302012.8044500242
39,2020-09-09,136,557,124,64,2893,318987,0.32999999999999996,113.6025510470623,95.59135557176884,80.76111207367694,541.2760694476549,519.3544001251153,513.6848429693363,100.81278256804472,83.0457533944983,69.30348579249318,2933.2808253688577,2691.783887170443,2289.458285335635,316053.71917468053,310912.1943361011,304283.4475974268
40,2020-09-10,143,572,124,62,3143,322130,0.32999999999999996,128.30127552353784,107.44360607370153,89.08319004710422,556.6380347238345,532.51589936364,521.4822715547623,112.40639128402763,93.28439227018157,76.61705888602896,3038.1404126844764,2804.5887662017367,2403.586942509239,319091.85958734166,313716.66690463875,306669.7434584147
41,2020-09-11,135,622,119,129,2893,325023,0.32999999999999996,131.65063776176967,114.33274352594972,95.22048930216937,589.3190173619247,554.8870510725131,534.9175990642443,115.70319564201456,99.71333057004178,82.28201673464885,2965.570206342222,2826.6916996838213,2469.0025146327935,322057.4297936715,316543.2661680682,309122.86308532784
42,2020-09-12,143,663,131,70,2224,327247,0.32999999999999996,137.32531888088548,121.49958805067358,101.6046658867898,626.1595086809665,581.9154029754617,552.0316434111478,123.35159782100816,107.53503111204907,88.7915896346222,2594.785103171069,2676.0181355119084,2436.2659023434003,324652.214896836,319219.21097907313,311544.5641202938
43,2020-09-13,153,691,136,74,1722,328969,0.32999999999999996,145.16265944044318,129.374716096398,108.47002899793954,658.579754340485,609.186639007753,570.5949672109434,129.67579891050443,114.65129597775248,95.09766555864618,2158.39255158551,2437.512842718104,2340.854619157675,326810.6074484181,321656.6659902048,313872.11157932243
44,2020-09-14,172,812,156,88,2941,331910,0.32999999999999996,158.581329720222,140.03106250340065,116.95424231241077,735.2898771702447,659.8901002583472,602.8337949809553,142.8378994552526,124.98849665278327,103.23096687453936,2549.696275792766,2563.384932429148,2421.0020102307126,329360.30372420914,324220.005609999,316281.0107286499
45,2020-09-15,194,891,165,101,3057,334967,0.32999999999999996,176.29066486011124,153.5233210267517,127.24124919523412,813.1449385851236,717.6676786073115,641.3092130104351,153.91894972762645,134.9913903933278,111.47825378530604,2803.348137896387,2686.788920197241,2505.919283998692,332163.6518621046,326906.75901640125,318775.9294109501
46,2020-09-16,183,929,167,107,3778,338745,0.32999999999999996,179.64533243005565,160.8925006623921,134.68467868575036,871.0724692925621,770.5008298782872,679.7140563241938,160.45947486381328,142.99355353703623,118.89004470914588,3290.6740689481967,2959.592056356699,2675.7337611729517,335454.3259310523,329866.32323519647,321441.67006646044
