,date,covidOccupiedMVBeds,cumAdmissions,hospitalCases,newAdmissions,areaName,dailyCases,cumulativeCases,population
78,2020-06-19,283.0,106431,3575.0,253,England,818,238244,"56,536,419"
79,2020-06-20,297.0,106615,3423.0,184,England,626,238870,"56,536,419"
80,2020-06-21,265.0,106830,3373.0,215,England,550,239420,"56,536,419"
81,2020-06-22,296.0,107148,3417.0,318,England,821,240241,"56,536,419"
82,2020-06-23,266.0,107423,3288.0,275,England,727,240968,"56,536,419"
83,2020-06-24,264.0,107685,3223.0,262,England,732,241700,"56,536,419"
84,2020-06-25,236.0,107941,3066.0,256,England,643,242343,"56,536,419"
85,2020-06-26,226.0,108189,2859.0,248,England,640,242983,"56,536,419"
86,2020-06-27,233.0,108398,2819.0,209,England,506,243489,"56,536,419"
87,2020-06-28,236.0,108553,2818.0,155,England,413,243902,"56,536,419"
88,2020-06-29,228.0,108725,3024.0,172,England,666,244568,"56,536,419"
89,2020-06-30,238.0,108914,2665.0,189,England,578,245146,"56,536,419"
90,2020-07-01,220.0,109115,2509.0,201,England,607,245753,"56,536,419"
91,2020-07-02,211.0,109264,2410.0,149,England,561,246314,"56,536,419"
92,2020-07-03,202.0,109410,2294.0,146,England,536,246850,"56,536,419"
93,2020-07-04,186.0,109530,2152.0,120,England,385,247235,"56,536,419"
94,2020-07-05,190.0,109661,2100.0,131,England,544,247779,"56,536,419"
95,2020-07-06,188.0,109811,2099.0,150,England,664,248443,"56,536,419"
96,2020-07-07,178.0,109959,2010.0,148,England,565,249008,"56,536,419"
97,2020-07-08,164.0,110100,1888.0,141,England,682,249690,"56,536,419"
98,2020-07-09,167.0,110236,1801.0,136,England,688,250378,"56,536,419"
99,2020-07-10,162.0,110340,1746.0,104,England,524,250902,"56,536,419"
100,2020-07-11,152.0,110437,1640.0,97,England,432,251334,"56,536,419"
101,2020-07-12,139.0,110509,1611.0,72,England,351,251685,"56,536,419"
102,2020-07-13,138.0,110646,1612.0,137,England,694,252379,"56,536,419"
103,2020-07-14,123.0,110768,1506.0,122,England,661,253040,"56,536,419"
104,2020-07-15,136.0,110884,1489.0,116,England,726,253766,"56,536,419"
105,2020-07-16,118.0,110998,1348.0,114,England,644,254410,"56,536,419"
106,2020-07-17,122.0,111081,1346.0,83,England,548,254958,"56,536,419"
107,2020-07-18,118.0,111129,1321.0,48,England,473,255431,"56,536,419"
108,2020-07-19,119.0,111201,1301.0,72,England,419,255850,"56,536,419"
109,2020-07-20,112.0,111287,1278.0,86,England,769,256619,"56,536,419"
110,2020-07-21,106.0,111366,1188.0,79,England,697,257316,"56,536,419"
111,2020-07-22,97.0,111448,1305.0,82,England,764,258080,"56,536,419"
112,2020-07-23,101.0,111557,1095.0,109,England,741,258821,"56,536,419"
113,2020-07-24,92.0,111650,1018.0,93,England,720,259541,"56,536,419"
114,2020-07-25,82.0,111715,977.0,65,England,499,260040,"56,536,419"
115,2020-07-26,81.0,111779,965.0,64,England,518,260558,"56,536,419"
116,2020-07-27,83.0,111861,945.0,82,England,824,261382,"56,536,419"
117,2020-07-28,78.0,111930,944.0,69,England,796,262178,"56,536,419"
118,2020-07-29,72.0,111993,927.0,63,England,994,263172,"56,536,419"
119,2020-07-30,70.0,112068,898.0,75,England,879,264051,"56,536,419"
120,2020-07-31,71.0,112123,870.0,55,England,644,264695,"56,536,419"
121,2020-08-01,74.0,112173,879.0,50,England,508,265203,"56,536,419"
122,2020-08-02,72.0,112230,847.0,57,England,518,265721,"56,536,419"
123,2020-08-03,67.0,112304,842.0,74,England,963,266684,"56,536,419"
124,2020-08-04,65.0,112362,807.0,58,England,965,267649,"56,536,419"
125,2020-08-05,63.0,112422,805.0,60,England,973,268622,"56,536,419"
126,2020-08-06,61.0,112474,756.0,52,England,1005,269627,"56,536,419"
127,2020-08-07,57.0,112534,711.0,60,England,892,270519,"56,536,419"
128,2020-08-08,55.0,112612,650.0,78,England,648,271167,"56,536,419"
129,2020-08-09,56.0,112665,611.0,53,England,569,271736,"56,536,419"
130,2020-08-10,60.0,112715,714.0,50,England,1375,273111,"56,536,419"
131,2020-08-11,63.0,112778,672.0,63,England,1247,274358,"56,536,419"
132,2020-08-12,68.0,112829,642.0,51,England,1126,275484,"56,536,419"
133,2020-08-13,64.0,112889,652.0,60,England,1036,276520,"56,536,419"
134,2020-08-14,63.0,112944,642.0,55,England,1059,277579,"56,536,419"
135,2020-08-15,68.0,112982,630.0,38,England,656,278235,"56,536,419"
136,2020-08-16,69.0,113021,634.0,39,England,534,278769,"56,536,419"
137,2020-08-17,67.0,113067,626.0,46,England,1159,279928,"56,536,419"
138,2020-08-18,64.0,113123,597.0,56,England,955,280883,"56,536,419"
139,2020-08-19,63.0,113181,571.0,58,England,1109,281992,"56,536,419"
140,2020-08-20,64.0,113226,551.0,45,England,1254,283246,"56,536,419"
141,2020-08-21,64.0,113275,528.0,49,England,1031,284277,"56,536,419"
142,2020-08-22,66.0,113300,594.0,25,England,732,285009,"56,536,419"
143,2020-08-23,65.0,113344,522.0,44,England,704,285713,"56,536,419"
144,2020-08-24,62.0,113385,522.0,41,England,1156,286869,"56,536,419"
145,2020-08-25,62.0,113445,500.0,60,England,1085,287954,"56,536,419"
146,2020-08-26,55.0,113497,485.0,52,England,1181,289135,"56,536,419"
147,2020-08-27,62.0,113566,492.0,69,England,1356,290491,"56,536,419"
148,2020-08-28,52.0,113610,469.0,44,England,1395,291886,"56,536,419"
