,date,cumAdmissions,Vax_index,hospitalCases,covidOccupiedMVBeds,dailyCases
0,2020-04-02,21387,0.32999999999999996,58.26724148137661,3.565511867310207,7.884386206227673
1,2020-04-03,23390,0.32999999999999996,60.94853528392762,3.5749335474262405,7.885480944030149
2,2020-04-04,25378,0.32999999999999996,64.13595648097568,3.600974016612085,7.718124705535101
3,2020-04-05,27464,0.32999999999999996,65.26173591619433,3.6261410041013735,7.631893592389988
4,2020-04-06,29650,0.32999999999999996,66.42593886363449,3.6324890121878735,7.949824140753886
5,2020-04-07,31835,0.32999999999999996,68.41362064231085,3.654474595998582,7.989222926924555
6,2020-04-08,34007,0.32999999999999996,66.59552276247302,3.640339937138054,7.930903307286193
7,2020-04-09,35989,0.32999999999999996,68.20162379825274,3.6488436826492974,7.87977348051797
8,2020-04-10,37696,0.32999999999999996,66.41285870314613,3.67539710754794,7.765711251000938
9,2020-04-11,39304,0.32999999999999996,67.77684355226093,3.67575846096917,7.629269245227948
10,2020-04-12,40828,0.32999999999999996,69.41427157420641,3.67008916846446,7.5913867530248345
11,2020-04-13,42382,0.32999999999999996,69.03744055890672,3.6685030733793416,7.733319978201508
12,2020-04-14,43742,0.32999999999999996,68.73762291367711,3.673356359256215,7.76018412547654
13,2020-04-15,45022,0.32999999999999996,68.03514432754459,3.678191528813227,7.915173849451627
14,2020-04-16,46539,0.32999999999999996,67.14249806987137,3.6727678682853075,7.940208590154564
15,2020-04-17,47921,0.32999999999999996,66.59389618177529,3.6752523081319786,7.8824122633197335
16,2020-04-18,49136,0.32999999999999996,66.23084722145377,3.6668992112059464,7.89419049062508
17,2020-04-19,50300,0.32999999999999996,66.4063167259963,3.663322108405865,7.741336209672131
18,2020-04-20,51577,0.32999999999999996,65.08695797560725,3.6664376507393954,7.792356097086867
19,2020-04-21,52857,0.32999999999999996,65.13116351593192,3.669863657692789,7.861977892523939
20,2020-04-22,53983,0.32999999999999996,65.95017266754004,3.656634532644645,8.028618614490224
21,2020-04-23,55053,0.32999999999999996,64.6364532001287,3.6446977969145413,7.983169072183539
22,2020-04-24,56164,0.32999999999999996,64.10792589820494,3.644876615482004,7.938561449023947
23,2020-04-25,57014,0.32999999999999996,63.13842944356404,3.6418980639593492,7.711760162060034
24,2020-04-26,58068,0.32999999999999996,62.661800285261094,3.6252264660031184,7.6443263399010375
25,2020-04-27,59216,0.32999999999999996,64.33846387647053,3.6209888378687176,7.875357971760782
26,2020-04-28,60264,0.32999999999999996,62.466933357115934,3.611474397080947,7.887884616702211
27,2020-04-29,61346,0.32999999999999996,60.78751991603837,3.625531927691468,8.01454668908171
28,2020-04-30,62354,0.32999999999999996,61.38852313988748,3.6079769017361887,7.93069540842779
29,2020-05-01,63244,0.32999999999999996,59.759225927170995,3.5855538652491927,7.887011308191259
30,2020-05-02,64062,0.32999999999999996,59.620156834044295,3.59187941375879,7.529561551680936
31,2020-05-03,64907,0.32999999999999996,58.923384428937936,3.568323263795397,7.491523384335212
32,2020-05-04,65796,0.32999999999999996,59.362519725180576,3.5799232962995418,7.55816844619552
33,2020-05-05,66605,0.32999999999999996,59.79941784266206,3.5626508442947364,7.647479082794973
34,2020-05-06,67458,0.32999999999999996,57.139029106639526,3.5591187853153503,7.680062800173034
35,2020-05-07,68312,0.32999999999999996,57.69774636588672,3.5428109875978175,7.663639325284027
36,2020-05-08,68874,0.32999999999999996,56.10243302337654,3.5312810742075587,7.482615784787855
37,2020-05-09,69501,0.32999999999999996,55.99989896276055,3.540393965383462,7.140682040813739
38,2020-05-10,70103,0.32999999999999996,55.30914045936659,3.5140954700033977,7.2435850991815895
