,date,covidOccupiedMVBeds,cumAdmissions,hospitalCases,newAdmissions,dailyCases,cumulativeCases
6,2020-04-08,1734.2857142857142,34007,12748.714285714286,2162.285714285714,4003.5714285714284,65102
7,2020-04-09,1839.5714285714287,35989,13538.57142857143,2086.0,4000.5714285714284,69178
8,2020-04-10,1983.4285714285713,37696,13978.42857142857,2043.7142857142858,3927.4285714285716,72768
9,2020-04-11,2099.285714285714,39304,14292.285714285714,1989.4285714285713,3881.714285714286,75853
10,2020-04-12,2171.4285714285716,40828,14665.142857142857,1909.142857142857,3862.285714285714,78811
11,2020-04-13,2231.4285714285716,42382,14902.285714285714,1818.857142857143,3727.4285714285716,82274
12,2020-04-14,2265.8571428571427,43742,14932.42857142857,1701.0,3579.285714285714,85842
13,2020-04-15,2332.8571428571427,45022,15061.57142857143,1573.5714285714287,3568.5714285714284,90082
14,2020-04-16,2375.5714285714284,46539,14965.57142857143,1507.142857142857,3609.1428571428573,94442
15,2020-04-17,2375.285714285714,47921,14981.42857142857,1460.7142857142858,3680.285714285714,98530
16,2020-04-18,2358.285714285714,49136,14844.0,1404.5714285714287,3831.285714285714,102672
17,2020-04-19,2345.714285714286,50300,14569.42857142857,1353.142857142857,3907.8571428571427,106166
18,2020-04-20,2341.8571428571427,51577,14217.57142857143,1313.5714285714287,3941.4285714285716,109864
19,2020-04-21,2335.1428571428573,52857,13897.57142857143,1302.142857142857,4002.5714285714284,113860
20,2020-04-22,2294.8571428571427,53983,13712.285714285714,1280.142857142857,4084.285714285714,118672
21,2020-04-23,2245.4285714285716,55053,13496.714285714286,1216.2857142857142,4114.857142857143,123246
22,2020-04-24,2191.4285714285716,56164,13286.285714285714,1177.5714285714287,4152.571428571428,127598
23,2020-04-25,2148.714285714286,57014,13029.714285714286,1125.4285714285713,4043.8571428571427,130979
24,2020-04-26,2087.8571428571427,58068,12720.42857142857,1109.7142857142858,3992.8571428571427,134116
25,2020-04-27,2015.4285714285713,59216,12658.285714285714,1091.2857142857142,4044.0,138172
